Search LSTM,Search GRU,Align LSTM,Align GRU,Insert LSTM,Insert GRU
118.0797577,112.5470581,114.0004196,114.4775696,133.7649078,140.6176758
109.967453,114.7493515,113.5632477,125.4046555,138.7391052,141.9831543
116.162323,118.4063644,118.2243652,120.7036591,135.2522736,142.7809296
111.1656723,111.2939377,117.8341675,114.1089401,135.937439,130.5707245
108.4776306,116.7917938,115.8917313,115.4071503,131.7484131,140.4431763
94.72223663,116.561409,117.5795441,119.2954178,131.7704315,144.0651245
102.5829391,96.63311005,106.7377472,111.8708801,137.2835999,139.7368469
118.9740143,118.3255615,114.0656204,127.6528625,139.2885742,133.0046844
109.3812714,114.6995316,100.437294,118.8711624,127.1948853,144.8354034
119.7025604,106.3197861,118.0731659,123.5177383,135.2662964,138.0912476
116.8446503,107.2432556,122.0239258,125.0889435,129.9801636,143.7658386
122.6013031,115.3459778,117.7096558,116.28965,132.5011292,138.6042938
115.9149323,120.4075546,111.287384,113.6395035,130.2532959,143.6539001
122.7897797,81.50187683,118.2572784,124.2862244,128.7164154,143.6210785
114.2328949,129.1369324,118.1415329,126.7007751,135.8140564,145.1613464
119.7756653,109.4465561,127.1027756,118.0686569,131.4659424,145.9892731
96.9561691,120.3533783,115.9881973,128.6212006,130.487442,133.5285645
93.3374939,96.42047119,117.3692017,123.0286789,138.85289,134.9349213
116.1307373,113.5808105,121.348465,125.3289413,141.8326111,141.7097168
120.610199,121.941803,116.980278,120.4480133,115.3664627,141.2411499
118.2495575,115.1176758,120.1087189,126.1144943,134.3969727,146.3795776
102.2349396,117.8522186,115.9064789,108.9621506,142.0202026,131.7814941
117.3038025,109.1780167,115.6705093,123.1336288,130.8016205,139.2768555
108.8893127,107.7079849,122.4723434,118.0612488,130.5239868,142.1529083
100.9812775,124.2599564,122.39711,125.747261,141.5326233,130.370636
96.7915344,113.7902985,119.7672729,117.4466705,134.9510956,142.6947327
122.6636505,122.7395172,119.405571,126.9243088,135.1555786,146.4068451
107.3892212,93.97460938,114.6992569,120.6033325,137.5783386,146.4177551
104.6205978,113.4284668,126.8336105,125.9243927,132.1509552,131.0088348
116.8805389,121.3798676,122.4211121,125.7017517,134.9567566,146.6874695
113.769165,110.0646744,111.4053726,116.9059525,132.6765137,139.5963287
116.2917023,112.8765488,126.3083649,117.5406342,143.6410675,132.4302979
-60.51802063,112.6721115,117.9701614,121.0934143,140.8756561,137.4326782
97.7553558,127.9565201,124.7591095,125.2438583,133.4576874,145.5679779
109.2490387,123.3685303,120.1737976,124.5244293,124.1504059,130.0192566
57.83007813,112.6771088,116.077034,126.7047348,131.5864105,138.2261353
109.0558929,111.3142776,119.3205261,120.5649261,129.1767883,133.2413177
124.1137238,118.717041,118.0791931,125.7883377,143.7658234,132.6788483
102.6867523,115.1239929,115.5891571,119.7064133,135.6404724,143.2188721
108.299614,110.6724243,119.0710526,125.3992233,135.9290771,130.9190674
118.2502594,127.871582,116.5631104,120.8432922,138.5103455,144.532608
105.6035004,122.7657928,118.9750671,129.0363922,128.9230957,145.6446991
119.2933502,122.9087296,117.8237991,107.546257,136.8332672,132.6399231
102.4816742,114.977005,122.7391434,117.1078644,141.004837,131.1862793
103.4076385,114.3167114,119.3877792,118.5540009,134.3497772,144.0704498
102.318367,113.3979721,118.3462067,123.1325302,143.3476105,144.6278076
118.9202576,112.1608429,121.2500916,126.6331177,136.0608521,136.663208
117.6141205,121.5692291,121.3731689,109.7741547,134.5549164,144.2918396
113.4416962,116.0308762,127.1145935,125.9713211,136.0721283,139.0154266
116.7805023,116.2455139,124.0021667,114.960083,140.6691437,141.939209
118.5008392,121.2650604,115.1199875,124.5464325,130.1388245,131.3429565
113.4362488,117.4438324,119.9560242,118.9020538,127.3222809,146.3197632
108.687851,106.46978,119.403038,123.9163284,131.6544495,131.9602661
120.4089966,128.6680908,117.1417847,110.6339188,137.9711304,144.8654175
117.8365326,122.6570663,120.6387482,129.3664093,142.5289307,132.4962463
122.8853302,108.5136948,122.5318604,121.9714813,126.6549377,138.8508759
127.6963654,120.2224426,120.0862885,124.5644455,139.5596008,144.2661743
117.6976013,102.9072876,120.4675522,114.7086182,127.1568146,141.113739
118.0284271,112.6852493,121.5382385,117.4421005,143.3513184,145.2041168
119.2583008,118.8462906,113.3273773,125.3887634,134.4777222,129.5305328
117.9095612,102.6319809,124.0659409,126.1894226,132.2849121,141.7878113
118.5133057,118.9729843,121.209198,122.0089188,136.4165955,135.2499237
111.2930069,117.0743561,119.2484207,126.0096741,136.363739,144.3961182
110.4777374,123.6732254,120.5464554,122.7322922,138.2398376,141.9226379
109.5596161,116.6665802,120.1220245,124.6942368,143.2072144,146.5232391
109.8832703,117.9339294,110.5922699,123.8423538,-9.710891247,129.9423828
