ep_r,ep_r GRU,ep_r PG,ep_r PG GRU,alpha,alpha GRU,alpha PG,alpha PG GRU,step,step GRU,step PG,step PG GRU
-46.41047668,113.9584808,-137.1589203,123.7268906,0.475494474,0.574340284,0.462523907,0.574163616,4,13,50,10
-52.21895218,-49.90872192,117.4329987,118.3263931,0.474877596,0.571196556,0.45873493,0.570297658,4,4,11,11
116.7874603,-45.90867996,112.4934082,121.597084,0.472998828,0.569688737,0.454031646,0.567256272,13,4,14,9
-50.4304924,98.90625,111.0847549,118.9871902,0.47240597,0.563262224,0.449864507,0.563792109,4,17,13,11
-48.96049118,105.753212,-165.780899,121.7067108,0.47189635,0.55818361,0.434090197,0.560296059,4,14,50,11
-52.86360168,-51.78936005,99.35267639,111.9093018,0.471379668,0.556763649,0.4293859,0.556093037,4,4,15,13
-54.00278091,98.7589035,117.5461502,125.4071732,0.470908552,0.549630463,0.425996542,0.553291202,4,21,11,9
-44.97122574,-48.01530838,-221.4363861,122.971138,0.468690932,0.548271775,0.398189425,0.547351539,4,4,50,10
101.0605316,117.9160233,114.9425735,121.7669067,0.466230541,0.543962657,0.394384861,0.544307768,20,13,14,9
-49.18408585,-46.21983337,118.2955017,108.616127,0.465803891,0.542730987,0.390990794,0.540482521,4,4,13,12
115.2956772,122.3020325,114.9955597,121.0365295,0.464335322,0.539311469,0.387587607,0.536900938,13,11,13,11
-43.22040558,-105.0367813,115.1869431,107.6462631,0.463776857,0.533607125,0.379382312,0.530086219,2,19,15,11
-49.04662704,121.3529434,118.0123749,125.2222061,0.46337533,0.530643821,0.36993289,0.52357924,4,10,12,9
-46.37050247,-51.80238724,70.33193207,126.4104309,0.463074088,0.529475212,0.363289386,0.521077037,4,4,27,8
-51.38507462,117.0373383,-197.0225372,114.8854218,0.461903095,0.526298821,0.347585469,0.512980402,4,11,50,13
120.2826538,-98.29712677,106.8662033,109.0090561,0.46121943,0.522335768,0.344098479,0.508317173,9,14,15,13
-53.65251923,-57.13679123,117.5234528,114.2178116,0.460683823,0.520897627,0.334313542,0.49955073,4,5,12,10
-36.36365509,117.7371674,102.6039581,111.215538,0.460606515,0.517110705,0.330950588,0.495606661,1,13,14,12
-49.82429886,121.2101288,119.4768677,123.1876678,0.460423231,0.513967395,0.328244567,0.492228001,4,11,11,10
-61.54430008,122.6340942,72.0697403,125.3991547,0.460106015,0.510920882,0.322271764,0.489428252,5,11,24,8
115.0239563,104.9633484,122.3527527,117.2397842,0.459573597,0.506381869,0.320053428,0.485040069,13,17,9,13
111.440361,102.2133789,95.59129333,124.2158127,0.459070951,0.501614213,0.315401763,0.481803954,13,20,19,10
122.0079498,-47.33937073,62.24827576,112.9925995,0.45841375,0.500770628,0.305099279,0.474983215,12,4,30,12
-51.13702393,111.4427872,-11.69134998,120.9888687,0.4582057,0.498173892,0.293102413,0.472188294,4,13,48,8
-51.80605316,113.045517,89.46365356,116.4082718,0.458116114,0.495556444,0.287662238,0.468486071,4,14,23,10
-54.01816177,-104.8775024,115.8339767,122.8494568,0.45796901,0.492545605,0.285045415,0.464832962,4,17,11,10
