six fx,six fy,six fz,six tx,six ty,six tz,dual fx,dual fy,dual fz,dual tx,dual ty,dual tz,,
-0.128800005,0.423599988,0.574000001,-1.113399982,-0.628300011,0.045499999,-0.213400006,1.386899948,-2.323800087,-2.794199944,-1.448099971,0.175500005,,0.175500005
-0.221699998,0.384900004,-4.764500141,-1.73300004,-0.882099986,0.075800002,-0.069899999,1.743399978,-1.175199986,-3.497100115,-0.582300007,0.213300005,,0.213300005
-0.042599998,0.069799997,-7.002099991,-1.478299975,-0.240999997,-0.0084,-0.050900001,1.457900047,-1.778100014,-2.970499992,-0.902999997,0.1105,,0.1105
0.0003,0.065399997,-4.679599762,-0.708999991,-0.145199999,-0.0239,0.078299999,1.78489995,-1.403300047,-3.633899927,-0.430500001,0.192900002,,0.192900002
-0.165900007,-0.551599979,-3.666699886,0.960900009,-0.619099975,0.173800007,0.615400016,1.393000007,-0.086199999,-3.071899891,-0.134200007,0.184599996,,0.184599996
-0.253399998,-0.63410002,-0.617799997,1.608800054,-0.91839999,0.027100001,-0.259499997,1.253800035,0.119499996,-3.040299892,-0.675899982,0.214499995,,0.214499995
0.092200004,-0.2861,-0.590699971,0.677600026,0.056400001,-0.0025,0.033300001,1.678200006,-0.067000002,-3.17050004,-0.31220001,0.102899998,,0.102899998
0.195899993,-0.081600003,-3.669199944,0.184699997,-0.141499996,0.0128,0.033199999,1.674700022,0.177300006,-3.473500013,-0.418500006,0.066500001,,0.066500001
0.522899985,-0.310799986,0.834800005,0.478700012,1.31309998,0.044399999,-0.2412,1.230700016,-0.022,-3.370500088,-0.599399984,0.1998,,0.1998
-0.605099976,-0.127900004,0.658900023,-0.247899994,-2.119600058,-0.036600001,-0.364899993,1.802399993,-0.098099999,-3.457000017,-0.704100013,0.123999998,,0.123999998
-1.052800059,-0.617200017,-6.320099831,0.802900016,-3.101399899,-0.219300002,0.116499998,0.317200005,-0.553499997,-0.511799991,-0.051899999,0.0195,,0.0195
-0.825299978,-0.730199993,-5.390699863,0.841000021,-2.293200016,0.034000002,0.416000009,0.111100003,-0.516600013,0.0112,0.214300007,0.042199999,,0.042199999
-0.264600009,-0.625400007,-5.582600117,0.861599982,-0.961499989,-0.052099999,0.059599999,0.566999972,-0.040600002,-0.114600003,-0.325300008,0.056299999,,0.056299999
0.288100004,-0.354200006,-4.803599834,0.817499995,0.263500005,-0.082699999,-0.386200011,0.520200014,-1.938500047,-0.986899972,-0.676699996,0.061799999,,0.061799999
0.203400001,-0.791400015,0.624499977,1.524500012,0.537100017,-0.269600004,0.0517,0.472000003,0.087300003,-1.066400051,-0.101499997,0.0337,,0.0337
0.261700004,-0.623899996,-1.498999953,1.673200011,0.513700008,-0.299400002,-0.140499994,0.729600012,-3.598400116,-1.183300018,-0.460399985,0.059799999,,0.059799999
0.514500022,-0.549099982,1.212000012,0.756500006,1.536800027,-0.0264,-0.066,1.158200026,-4.994900227,-2.644099951,-0.863499999,0.303000003,,0.303000003
-0.588500023,0.027100001,0.439399987,-0.419200003,-1.567000031,-0.0156,-0.167099997,0.906799972,-4.802299976,-1.838000059,-1.131600022,0.064199999,,0.064199999
-0.890100002,0.134800002,-0.625400007,-0.450100005,-1.739799976,-0.064999998,-0.109499998,1.128100038,-4.655900002,-2.489799976,-0.90140003,0.26699999,,0.26699999
-0.34709999,-0.0524,0.3116,-0.300799996,-0.970000029,-0.0017,0.071000002,1.330199957,-4.399000168,-2.615099907,-0.851400018,0.255400002,,0.255400002
-0.515999973,0.280200005,-1.117300034,-1.300199986,-1.258700013,-0.035599999,-0.173199996,0.958299994,-4.103199959,-2.11680007,-1.034000039,0.054499999,,0.054499999
-0.529100001,-0.251599997,-7.095900059,-0.212400004,-1.586099982,-0.206599995,-0.040199999,0.999599993,-4.079999924,-2.47239995,-0.329600006,0.173299998,,0.173299998
-0.150399998,-0.486000001,-8.371500015,0.559800029,-0.559800029,-0.083400004,-0.223700002,1.190000057,-3.55250001,-2.375799894,-0.979799986,0.225700006,,0.225700006
0.197400004,-0.617399991,-6.847700119,1.291100025,0.060699999,-0.150900006,-0.089900002,1.08949995,-3.750699997,-2.549599886,-0.586499989,0.084200002,,0.084200002
0.56309998,-0.630699992,-1.99849999,1.197100043,1.018599987,-0.300799996,-0.30250001,0.944000006,-2.435499907,-2.025300026,-1.149999976,0.117700003,,0.117700003
0.343400002,-0.248300001,1.08010006,0.100500003,0.958999991,-0.0055,0.0295,1.250499964,-4.164999962,-2.777899981,-0.647599995,0.223199993,,0.223199993
0.440200001,-0.173999995,0.720600009,0.065300003,0.975600004,0.0011,-0.292699993,1.10800004,-4.143899918,-2.728499889,-0.752300024,0.189300001,,0.189300001
-0.198799998,0.236399993,-2.635099888,-0.960300028,-0.44780001,0.0458,-0.1866,1.294700027,-4.523300171,-3.155499935,-0.953700006,0.252000004,,0.252000004
-0.580299973,0.279500008,0.381199986,-1.071499944,-1.410300016,0.046999998,-0.110399999,1.389999986,-2.262599945,-3.211699963,-0.319700003,0.167600006,,0.167600006
-0.704699993,0.144600004,0.852800012,-0.800400019,-1.645300031,0.0119,0.096600004,0.447600007,-2.120199919,-0.558499992,0.245299995,0.034200002,,0.034200002
