six fx,six fy,six fz,six tx,six ty,six tz,dual fx,dual fy,dual fz,dual tx,dual ty,dual tz
-0.109745786,0.875943422,-9.386195183,-0.20590888,0.022022154,0.001468626,-0.807315111,0.163086638,-10.68220139,-0.048300903,-0.204048634,-0.012868252
-0.434689581,0.864812672,-7.595213413,-0.213993311,-0.041042447,0.007626206,-0.582037628,0.003278174,-8.61752224,-0.021779193,-0.085043572,-0.020773595
-0.409745932,1.299745679,-8.307714462,-0.345330834,-0.024365406,0.01320733,0.02168736,0.069198228,-0.030762516,-0.018535437,0.005244078,-0.000808564
0.139089659,1.108676076,-8.570549011,-0.286792248,0.153592288,0.015212221,0.005213395,0.08459124,-0.060702525,-0.022845179,5.17E-05,-0.001317011
0.001503737,0.000560666,-0.000510142,-0.000120002,0.000343087,-2.93E-05,0.018504294,0.090016462,-0.040917881,-0.024204548,0.003938159,-0.001092709
-0.002231747,-0.001663052,0.000547446,0.000186944,-0.000519133,-3.64E-06,0.73262614,0.46672678,-9.984547615,-0.132461011,0.186078608,0.002759422
-0.004218106,0.000818458,0.000114082,-0.000352766,-0.001012158,-2.69E-05,0.080993824,0.781457007,-10.68048286,-0.214087546,0.016791673,0.00455089
-0.766113043,1.837241292,-11.78247547,-0.458981961,-0.222719491,-0.005983086,-0.344953448,0.157179549,-10.76042747,-0.042345151,-0.087714255,0.009729387
-0.648274601,1.634953856,-10.85506535,-0.411367714,-0.178348169,-0.0037776,-0.686637163,-0.036928196,-10.05722427,0.012291227,-0.180190623,0.021003334
-0.518406868,0.693713367,-10.07702255,-0.112350315,-0.164015383,-0.001320652,-0.0076547,-0.082881086,-0.049049791,0.022795565,-0.002790486,0.001016998
-0.694177747,0.580751002,-9.83889389,-0.067065559,-0.27303651,-0.011534938,-0.034294493,-0.123821013,-0.081856556,0.033962317,-0.01062311,0.00158315
-0.501039624,-0.066328317,-7.897849083,-0.026918087,-0.05678748,-0.001413073,-0.056815807,-0.134119421,-0.318970531,0.037171274,-0.016967982,0.005538736
0.001322446,-0.003480299,-0.000316289,0.000736299,2.48E-05,-9.89E-06,0.04206631,-0.103974804,-16.85306931,0.034595132,0.016676843,0.003081212
-0.003114701,0.00244672,0.000853882,-0.000592332,-0.000457545,-1.78E-05,-0.041780263,0.952587664,-10.5239687,-0.24706459,-0.010777904,0.022929067
-1.192476273,1.524165154,-8.527056694,-0.415086925,-0.264839441,0.010239741,0.863308609,1.43466866,-7.839556694,-0.399179965,0.174367383,0.022467716
-1.226315379,1.937901497,-8.4504776,-0.547504783,-0.280308127,0.015281136,0.435820311,1.098380923,-9.583051682,-0.320724875,0.03821221,0.017993415
