circle fx,circle fy,circle fz,circle tx,circle ty,circle tz,six fx,six fy,six fz,six tx,six ty,six tz,dual fx,dual fy,dual fz,dual tx,dual ty,dual tz,,
-0.368699998,-0.746699989,0.676800013,1.584300041,-0.404700011,-0.0072,-0.077600002,-0.077399999,0.0008,0.199000001,0.040800001,0.0021,-1.181399941,0.3292,0.728900015,-0.550199986,-2.891499996,-0.079700001,,0.079700001
-0.195999995,-0.889500022,0.846599996,1.899000049,-0.178200006,0.0014,-0.089599997,-0.556299984,0.256700009,1.123800039,0.186100006,0.032900002,-0.98269999,0.136299998,0.552200019,-0.179299995,-2.155400038,-0.110200003,,0.110200003
-0.151299998,-0.0071,0.289099991,-0.182099998,0.33160001,0.027799999,0.244100004,-0.730099976,0.142800003,1.628200054,0.960300028,0.0381,-0.93779999,-0.048,0.761300027,0.0276,-2.138200045,-0.112000003,,0.112000003
0.0217,-0.68690002,0.605599999,1.707299948,0.403899997,0.022299999,-0.390399992,-0.596300006,0.087899998,1.506299973,-1.033900023,0.037999999,-0.425000012,0.143600002,0.623600006,-0.348399997,-0.940599978,-0.093400002,,0.093400002
0.113700002,-0.654399991,0.372599989,1.819499969,0.889500022,0.0144,-0.849699974,-1.016299963,0.788600028,2.230099916,-1.914800048,0.0206,-0.038699999,0.233899996,0.567099988,-0.713199973,0.058800001,-0.077,,0.077
-0.130799994,-0.698499978,0.791299999,1.546599984,0.237200007,0.0119,-0.113499999,-1.09010005,0.53670001,2.897200108,-0.0132,0.0407,0.057700001,0.542800009,0.50849998,-1.433200002,0.284299999,-0.0035,,0.0035
-0.1105,-0.549899995,0.652199984,0.869700015,0.365099996,0.017200001,0.226899996,-0.819299996,0.433899999,1.651600003,0.897099972,0.0127,0.179900005,0.50150001,0.700800002,-0.737200022,0.361400008,-0.084100001,,0.084100001
0.41960001,-0.439599991,0.153400004,0.666299999,1.784000039,0.026900001,-0.015900001,-1.076099992,0.126599997,2.24819994,0.332899988,0.076499999,0.078599997,0.180399999,0.587700009,-0.52609998,0.211799994,-0.079899997,,0.079899997
-0.316199988,-0.934300005,-1.293499947,0.726400018,0.155100003,0.0066,-0.048999999,-1.115300059,0.640999973,2.596199989,0.31099999,0.047499999,-0.0077,0.474900007,0.504199982,-0.845099986,0.032299999,-0.0605,,0.0605
-0.355100006,-0.995999992,0.225400001,0.947600007,-0.197099999,0.0063,0.491699994,-2.530699968,0.052499998,4.710400105,1.677000046,0.275299996,0.065200001,0.179100007,0.874199986,-0.455799997,0.174899995,-0.064099997,,0.064099997
