circle fx,circle fy,circle fz,circle tx,circle ty,circle tz,six fx,six fy,six fz,six tx,six ty,six tz,dual fx,dual fy,dual fz,dual tx,dual ty,dual tz
0.194839805,0.85912323,-5.005460739,-0.171260074,0.096067838,-0.011671677,-0.309297442,0.103017032,-0.143996939,-0.028194515,-0.083213635,0.000614798,-0.085130267,-0.350997984,-0.893853784,0.080335565,-0.011632513,-0.015109614
0.471291363,0.431129128,-1.486632109,-0.120003872,0.129207432,0.010527185,0.188170969,-0.297756553,-0.411969841,0.078240693,0.073253863,0.002056934,-0.000571162,0.182824031,-0.963454008,-0.060327508,0.012813426,-0.011989897
0.525931239,-0.210740894,-1.549179435,0.079645962,0.131897762,0.011462671,-0.346378356,0.51612401,-1.080538869,-0.140211627,-0.047079921,0.013026522,-0.023560572,0.183241054,-0.136960462,-0.04955589,-0.00646311,-0.00248508
0.448825657,-0.130470023,-1.830844879,0.062541023,0.140574411,0.004200152,0.267012149,0.048856609,-0.054653291,-0.014649095,0.082974941,0.000455183,0.491723806,-0.204909995,-0.293592185,0.056326527,0.137024984,-0.002658778
0.098432951,-0.633841872,-1.413347721,0.207506582,0.019493097,0.005043315,-0.068145409,0.059755728,-0.029262669,-0.018354243,-0.020154551,-0.000851404,-0.703364074,-0.230445698,-0.389622986,0.058129061,-0.173326731,-0.00290288
-0.115470372,0.962674916,-8.72233963,-0.103983819,-0.121443324,0.021614799,0.179435372,0.006316895,-1.246259689,-0.00710362,0.046498965,-0.001189802,-0.821856499,-0.145315826,-0.424631208,0.036699016,-0.205873951,-0.006443584
-0.127368242,-0.02644949,-2.979189634,0.021812867,-0.091116816,0.017487792,0.038187314,0.052975744,-1.304550052,-0.021752786,0.016756086,-0.002870348,-1.188012719,0.407900691,-2.626344204,-0.114967935,-0.279060006,-0.022858268
0.342844307,0.330895424,-4.242991447,-0.064306751,0.009292271,0.027362373,-0.07881204,-0.08286871,-0.415984392,0.015436658,-0.012357907,-0.000738857,0.049359929,-0.046287205,-0.26631707,0.010456335,0.016897261,0.001646889
0.665811598,0.309819043,-4.051788807,-0.109468281,0.110442542,0.0319383,-0.476367503,0.697808087,-1.696847916,-0.18978779,-0.122926503,-0.001107301,-0.122039355,0.153730333,-0.275924593,-0.040457461,-0.028912246,0.002025832
1.23397994,-0.581189632,-6.811916828,0.149183288,0.200232476,0.032004666,-0.264845967,0.493132472,-1.669548154,-0.140002772,-0.080222204,0.000175994,-0.129735678,0.538437605,-0.573306561,-0.137486875,-0.025161076,0.007115421
