ep_r,ep_r GRU,ep_r PG,ep_r PG GRU,alpha,alpha GRU,alpha PG,alpha PG GRU,step,step GRU,step PG,step PG GRU
133.6040192,134.4479828,126.7666168,130.3133163,0.125195116,0.2839908,0.158502623,0.420649707,27,10,42,50
129.9846649,135.1950989,-11.29903126,137.9979248,0.1190833,0.280844361,0.151521996,0.412234396,24,9,50,12
-32.43466568,132.6721497,-12.77969074,134.665451,0.114862837,0.279316604,0.14823927,0.409520388,50,9,50,9
141.6075287,141.6870575,-11.59485435,134.0131836,0.110642098,0.274983734,0.142002672,0.400724888,27,11,50,17
-87.00874329,138.7669067,135.9305878,139.8355713,0.107715517,0.273192912,0.140828386,0.39800635,50,11,16,9
144.3735962,132.6257019,136.9887085,142.8119202,0.105213501,0.269145727,0.137270734,0.387792051,26,9,11,12
-108.8195038,136.5622406,-16.16189384,140.2918396,0.103693336,0.267579466,0.134426415,0.383720368,50,9,50,13
-33.43189621,133.4976654,-13.11156082,134.986557,0.103676863,0.266053587,0.130968168,0.378904134,6,9,50,15
-99.55291748,135.2579956,-10.4171896,135.0814056,0.103545845,0.263788909,0.127507567,0.375564933,50,13,50,11
105.295372,132.2189026,-26.17649841,133.9371338,0.102314733,0.262175113,0.12324845,0.37167877,41,10,50,12
127.0700912,138.1083221,-20.58078003,143.1076202,0.101094477,0.260513872,0.119616926,0.367895573,32,10,50,12
126.6434784,141.4074707,137.6245728,136.5720825,0.098202631,0.257106215,0.118477419,0.361769527,35,11,13,10
-91.3911972,142.9105682,135.3224335,137.7184906,0.095601462,0.255218685,0.11793638,0.358896643,49,12,13,9
65.20755005,137.519455,130.9860992,132.1511688,0.093883805,0.253415942,0.116869733,0.355748385,41,11,14,10
117.1960526,134.9781952,135.0968475,140.0062256,0.092729755,0.251511693,0.116009928,0.351889908,31,12,17,12
132.8426514,134.2477417,131.3574829,129.9450684,0.087147325,0.243843153,0.118270665,0.331661284,32,9,11,20
129.1362762,133.496521,138.8840942,140.737793,0.085885756,0.242126018,0.118145362,0.327554882,38,11,11,14
-29.86418533,131.5080566,133.8239899,140.9147949,0.083945811,0.238497764,0.117778674,0.320744008,50,13,14,13
128.225235,133.5396423,144.0753021,140.1966705,0.083801381,0.235640362,0.117516614,0.315443754,28,9,16,9
137.743988,131.4781342,144.5877991,144.039856,0.083815865,0.233094022,0.117238909,0.312582135,23,17,10,11
140.7514801,130.7273407,135.7568054,131.9794922,0.083600186,0.230424404,0.116949134,0.309879541,27,17,13,11
126.8476639,141.4592285,140.1551208,140.3234406,0.083149239,0.22529465,0.115314864,0.301448435,31,12,12,15
140.5272064,139.1806183,137.6086121,140.0067444,0.082431912,0.218835667,0.113228686,0.289528787,24,11,14,11
