circle fx,circle fy,circle fz,circle tx,circle ty,circle tz,six fx,six fy,six fz,six tx,six ty,six tz,dual fx,dual fy,dual fz,dual tx,dual ty,dual tz
-0.46739623,2.038491488,-12.45400524,-0.577105105,-0.286451995,-3.76E-05,0.467609853,4.381499767,-9.690747261,-1.248938799,0.141170681,-0.017962355,-0.546885848,0.664014459,-10.04503059,-0.154576153,-0.162648186,-0.004153524
-1.198941827,1.609314084,-8.640701294,-0.486644417,-0.482860655,5.42E-05,-1.069708943,5.192605972,-9.624939919,-1.484795332,-0.338048786,-0.040294614,-1.269507527,-0.454204738,-9.047071457,0.152553812,-0.279027611,-0.00683111
-0.27239877,-0.199379995,-0.152650774,0.061808467,-0.083576396,-2.05E-05,5.565660477,6.482679367,-7.599112511,-1.928442717,1.76250422,0.079391345,0.005262783,-0.000350284,0.000505012,1.95E-05,0.000969534,7.09E-06
-0.454437643,0.70886147,-0.240043148,-0.220807076,-0.139898404,0.00011722,1.974468708,4.769114971,-7.021079063,-1.406102061,0.614481449,-0.008714654,-0.002726815,-0.001521234,0.00038007,0.000305236,-0.000758067,1.26E-07
-0.621097028,0.469921112,-0.397016674,-0.143756568,-0.191157117,0.000152482,1.292985439,4.186159611,-10.74502468,-1.176410437,0.414800137,0.039139528,8.83E-05,-0.00193146,0.000535676,0.000414661,-0.000147272,-4.68E-06
-0.342604041,0.57532984,-0.33230558,-0.176310182,-0.104203276,0.000140261,3.885138988,2.89699173,-9.935326576,-0.763561904,1.218153238,0.043104824,0.00521455,-0.00113949,0.000356197,0.000252627,0.000688668,-2.53E-06
0.27320984,2.417157173,-10.00609589,-0.774567664,0.058714226,0.000101727,1.065333247,4.377195835,-7.01474905,-1.278376698,0.336428344,0.015429748,-1.108061194,-0.085207187,-9.881640434,0.040893506,-0.304814577,-0.003388141
-1.361309409,2.560268164,-8.909259796,-0.782288551,-0.540193021,0.000227274,-0.901064992,5.118089199,-7.240437508,-1.509089947,-0.261359245,-0.020493254,-1.73313427,-0.909003556,-8.398806572,0.250136167,-0.454704374,-0.003475257
-2.424381495,0.321654558,-8.853248596,-0.141009569,-0.658798456,0.000213666,0.627007544,1.977660775,-8.962444305,-0.488422215,0.197742701,0.009428429,-1.394206047,0.545158327,-9.865646362,-0.135037869,-0.392409801,-0.004160999
-2.983091593,1.851895571,-8.798266411,-0.602779508,-0.819126904,2.15E-06,-1.695477247,2.003151655,-8.951126099,-0.50254935,-0.538058341,-0.023031807,-0.8860147,-0.195523396,-10.50602627,0.065318607,-0.252681404,-0.00035104
-0.288296163,2.346425772,-9.479207039,-0.718904734,0.027381701,2.18E-05,0.761830389,0.805394769,-9.578537941,-0.113083653,0.240469307,0.009889253,-1.653444052,-0.628213823,-10.03542519,0.179221004,-0.4307549,-0.002860242
1.116416931,1.104652882,-2.342000961,-0.340091884,0.370730877,0.000126578,0.956456482,-0.121002913,-8.068369865,0.157523394,0.299609125,0.013983042,-1.200178504,1.246439219,-8.713846207,-0.31712696,-0.347922325,0.000194963
