reward,phase
113.3223586,3
105.6220695,3
128.939751,3
101.9806803,3
112.2947117,3
106.4398806,3
104.0011858,3
102.9205621,3
104.226758,3
106.682285,3
102.9870407,3
104.4207319,3
109.1955036,3
104.2907797,3
100.6903093,3
119.1890517,3
116.7109749,3
116.3245599,3
126.9355711,3
119.6561924,3
134.9910786,3
117.9453372,3
108.1654589,3
123.3335743,3
101.0754484,3
108.1667987,3
-13.66245334,0
-14.8176144,0
-13.37681691,0
-13.7320585,0
-13.6642492,0
-21.74673217,0
-15.1165343,0
-14.45173407,0
111.3440096,3
114.1652629,3
137.6994384,3
106.469701,3
98.13528516,3
115.6133807,3
117.597644,3
100.3571239,3
125.2934125,3
112.623851,3
102.4642781,3
96.38498707,3
103.9464951,3
121.5772177,3
96.0703259,3
98.11361669,3
84.79009511,3
-14.40848252,0
-27.83846992,0
-14.0971151,0
115.8220259,3
117.0122876,3
141.3431684,3
123.4429434,3
107.0360503,3
127.1849185,3
105.667336,3
127.7471065,3
116.5538389,3
102.8758759,3
106.7906973,3
111.8882048,3
116.9471679,3
112.4443691,3
118.78348,3
4.048965162,2
125.2166485,3
100.6123684,3
121.0323058,3
82.63420767,3
106.6663818,3
114.5606026,3
102.1696972,3
112.223013,3
104.6328231,3
-13.83067634,0
-14.04782359,0
-6.778395357,0
-21.49598479,0
-13.97666478,0
-19.89188934,0
-13.54116665,0
120.3925686,3
107.3853404,3
94.95810055,3
98.06405956,3
100.7761495,3
-14.64301818,0
-6.989074915,0
119.9576731,3
113.4647828,3
117.2460421,3
105.518584,3
105.3837331,3
101.1822715,3
123.5303799,3
101.4860747,3
95.49235406,3
105.7651214,3
109.176962,3
100.2244812,3
97.4476721,3
87.61312921,3
104.0665437,3
110.7233352,3
78.85938917,3
124.2595926,3
103.5659418,3
92.87463123,3
-0.563763118,2
-13.80278195,0
-14.06046684,0
-13.83649152,0
-13.58341426,0
-13.56520134,0
-13.55337998,0
-20.54266465,0
-13.7749748,0
-14.07727072,0
101.7174104,3
127.8827244,3
116.5473452,3
106.2131569,3
-6.936104552,0
-20.43317459,0
116.3480179,3
127.5739538,3
-27.11489818,0
-21.11360153,0
-14.10613122,0
-7.120552553,0
-14.6539703,0
-13.74728805,0
-15.0136296,0
-7.32495808,0
-21.06367337,0
107.0714388,3
113.3287292,3
107.9240693,3
102.8443641,3
122.7928833,3
103.4352222,3
107.7079687,3
95.10214934,3
103.285862,3
116.7396808,3
