ep_r,ep_r GRU,ep_r PG,ep_r PG GRU,alpha,alpha GRU,alpha PG,alpha PG GRU,step,step GRU,step PG,step PG GRU
-159.6624298,-138.8252258,102.4202805,96.02626038,0.255145788,0.390267313,0.601493061,0.613498747,24,22,14,15
-283.4650574,-134.8909149,96.18400574,116.4195251,0.238692224,0.383687317,0.591812074,0.5982849,47,20,15,11
-164.0121002,-97.44631958,85.9184494,76.58331299,0.221820444,0.379778922,0.576745033,0.584351897,50,12,16,20
-258.9056091,-121.4892502,70.79758453,72.52454376,0.21605055,0.374293089,0.567177653,0.576663494,37,17,23,17
-234.1788788,-139.2398987,121.8603973,101.3442078,0.197623283,0.367643297,0.556093633,0.559301615,39,21,8,13
-195.2368927,-119.5021057,110.132843,63.44293976,0.190790057,0.362021178,0.550501168,0.549986184,50,18,14,21
-292.0166931,-132.2823029,106.6710434,-72.5280838,0.186210826,0.356128007,0.546075761,0.545565546,36,19,11,10
-218.8876038,-134.7084503,104.4872665,111.6304398,0.1816172,0.350630581,0.540682018,0.540741086,37,18,13,11
-173.7328339,-120.8921738,76.84268188,106.333519,0.175616041,0.345200598,0.533518434,0.534195662,50,18,18,15
-193.0201721,-127.5726166,106.1330338,108.2434311,0.165062308,0.339950323,0.513972938,0.514094055,50,18,13,12
-163.8075867,-165.4255676,105.2181625,111.3386612,0.160486117,0.33226797,0.509611666,0.510224819,50,27,12,9
-180.9808655,-142.306366,67.20737457,127.7421951,0.152824819,0.326260179,0.496598572,0.499378651,50,21,22,8
-140.3485565,-154.8966522,102.990593,102.5944901,0.148298085,0.319530517,0.491760403,0.493564487,50,24,13,14
-205.529541,-167.1926117,119.0856476,85.490242,0.145130277,0.311891973,0.488338649,0.486576706,39,28,9,17
-211.2668152,-260.0294495,82.35431671,114.6153259,0.142807424,0.301111162,0.481336921,0.481758326,33,43,19,12
-188.6365051,-83.6235733,112.7620621,88.60103607,0.140628248,0.29861778,0.477748662,0.475801051,28,10,10,15
-140.5565491,-145.1650543,93.08905029,106.761322,0.139497399,0.293155432,0.472020924,0.471864462,17,22,16,10
-84.60829163,-141.7854004,98.60313416,112.4017258,0.138809279,0.288524151,0.466194034,0.468047738,10,19,16,10
-118.9252014,-152.9367218,91.88566589,118.6974792,0.134293661,0.28300795,0.457480758,0.457484156,50,23,15,10
-88.34011078,-133.8320923,49.66850662,83.92193604,0.133706748,0.278697193,0.448445767,0.450844109,11,18,27,18
-80.41926575,-87.52609253,108.2746735,92.55902863,0.133292139,0.276133686,0.444489688,0.445049316,9,11,12,16
-72.40877533,-99.68546295,94.04588318,87.64352417,0.133047447,0.273347437,0.439137936,0.439295769,7,12,16,16
-130.2490082,-93.52282715,114.1846008,119.5529251,0.132015094,0.270848721,0.4300915,0.432324529,14,11,12,9
-79.22931671,-112.374794,90.22862244,115.8593903,0.131025493,0.267680466,0.42093423,0.424394697,8,14,15,11
-89.13431549,-123.1082458,97.72800446,108.081665,0.130660728,0.263368696,0.416062385,0.419992417,10,19,15,13
-121.1369095,-153.2177429,101.0366974,64.25029755,0.129892752,0.258826584,0.406177104,0.407970488,14,21,12,26
-102.8387909,-159.4291382,90.71257019,99.54605865,0.129577994,0.253887177,0.401398301,0.403927863,9,23,15,13
-98.44683838,-134.7821503,110.7488937,95.23696136,0.128833845,0.249873325,0.394423664,0.39547956,11,20,12,14
-100.7393723,-132.4620972,110.6283035,113.4130249,0.128467917,0.24657467,0.390958369,0.392240077,12,17,11,11
-95.52031708,-106.3859482,107.569191,87.92266083,0.128075793,0.244012445,0.387272358,0.386944562,17,13,12,18
-68.2254715,-124.1348724,94.86211395,120.0005569,0.128097877,0.240715653,0.381920069,0.384272724,7,17,17,9
-109.3870544,-117.851593,106.9761276,112.1921158,0.12815997,0.237529814,0.378207952,0.38102302,12,16,12,11
-82.62310791,-135.0756531,103.3390045,113.6398621,0.128170848,0.233760685,0.374373287,0.377892405,8,19,13,11
-129.655838,-123.649498,119.5919037,109.2997742,0.128174305,0.230464563,0.369065434,0.371325791,13,17,8,12
-101.3745117,-75.27901459,113.0927963,89.62619019,0.128104463,0.228790283,0.36611858,0.366593122,13,9,10,17
-105.7622757,-69.9651413,102.2727509,108.3519821,0.128240928,0.227387533,0.362023264,0.363154113,13,8,14,12
-110.0404205,-121.3335419,117.6358566,128.5679016,0.128522515,0.224395096,0.359230489,0.360904008,13,17,10,8
-99.13150024,-81.0112381,90.90299225,113.7546921,0.130253822,0.22282365,0.340475798,0.344626874,12,9,16,12
-79.65364075,-87.93370819,125.2808762,123.4041061,0.130629525,0.221319288,0.33820799,0.342178971,8,9,9,9
-88.84104919,-118.546463,105.5797882,107.7604523,0.131784901,0.218547091,0.332427382,0.335638344,10,17,11,13
-124.7558136,-98.54798126,119.261795,115.1204758,0.133277908,0.216634393,0.326881319,0.329651892,15,12,10,11
-77.8138504,-134.1023712,102.0135803,112.7006073,0.133862585,0.213121399,0.323623717,0.326715201,9,22,13,11
-85.54743195,-109.9594574,100.3436966,103.2211304,0.134430632,0.211227298,0.320180118,0.323239893,9,13,14,13
-70.52326202,-84.11110687,115.6047592,89.47047424,0.135890797,0.209935382,0.310621917,0.312407672,7,9,10,18
-102.0248032,-77.17482758,114.5963211,103.4152832,0.138622388,0.208832517,0.300898522,0.301075816,12,8,9,13
-90.53923035,-102.7067261,106.0966339,107.9052277,0.140424848,0.207017004,0.294024229,0.292684376,9,13,11,11
-78.14199066,-107.5858307,105.7405472,99.46263885,0.141519323,0.204649448,0.288296461,0.283132762,8,16,14,14
-62.3449173,-112.9667358,104.0714417,112.1057281,0.142001212,0.202321902,0.285540164,0.280297577,7,15,13,11
-101.140686,-91.01370239,118.6112442,106.5085297,0.142791703,0.200543031,0.283931702,0.276993334,11,12,8,13
-131.0719757,-88.93004608,89.93509674,120.8762436,0.146335348,0.199053496,0.273209423,0.265962392,12,10,16,10
-110.9951324,-90.58623505,121.8174515,112.8936157,0.14726539,0.197570398,0.271426648,0.263538688,11,10,9,10
-102.0947571,-111.5043411,101.2514725,118.9235458,0.148091555,0.195137605,0.268629104,0.261166245,9,16,14,10
-104.5490189,-121.9668045,112.3955994,89.95690155,0.149255916,0.192692757,0.266319066,0.257351756,12,16,11,16
-86.33251953,-119.9599152,89.44397736,115.0647659,0.150812745,0.190210178,0.261126757,0.250204057,8,16,17,10
-75.30430603,-110.7378693,109.9248428,111.911377,0.1518154,0.188276678,0.258673847,0.247914255,8,13,12,10
-83.18438721,-80.59658051,99.18115234,117.4866257,0.154776514,0.18710354,0.250174463,0.237848312,9,8,15,11
-79.53530884,-140.9274292,115.1369171,119.0719223,0.157503814,0.184869528,0.242927462,0.229871631,9,16,11,9
-110.6800385,-94.36717987,112.1828384,87.24932098,0.158783287,0.183575034,0.240694046,0.226647124,12,10,12,16
-119.6384964,-109.6098404,108.3038559,96.24131775,0.160682961,0.181594998,0.23706682,0.221260324,12,14,11,13
-77.17037201,-93.05813599,104.0936813,119.2317963,0.162308872,0.180142149,0.226977676,0.216775611,8,10,13,10
-69.11715698,-103.964241,116.9309921,106.1710892,0.162874281,0.178452075,0.225088313,0.214468613,7,12,12,12
-134.4188538,-100.1807404,114.0267715,106.4865341,0.164238051,0.176765338,0.223138094,0.212067395,14,12,12,13
-79.31443024,-133.4554596,112.3655472,94.10400391,0.165344954,0.174482986,0.220879287,0.209672362,9,16,14,13
-126.4599075,-76.23582458,111.0077209,95.85962677,0.166470855,0.173419714,0.219113618,0.206915244,11,8,12,15
-127.4627075,-85.26156616,78.13005829,123.7842636,0.167672604,0.172129944,0.216131821,0.205298379,14,10,19,9
