circle fx,circle fy,circle fz,circle tx,circle ty,circle tz,six fx,six fy,six fz,six tx,six ty,six tz,dual fx,dual fy,dual fz,dual tx,dual ty,dual tz,,
0.068400003,0.126900002,0.045400001,-0.055300001,0.153699994,0.021600001,-0.7421,-0.674499989,-1.355900049,2.373699903,-2.253099918,-0.082199998,-0.183200002,0.332399994,0.432500005,-0.76880002,0.257299989,-0.0744,,0.0744
0.054900002,0.081699997,-0.770500004,0.098499998,0.0359,0.0115,-0.725600004,-0.390500009,-5.615200043,0.194999993,-1.014700055,0.0035,0.0054,0.109399997,0.260699987,-0.414499998,0.321999997,-0.086900003,,0.086900003
-0.28639999,-0.225500003,-2.087100029,0.589299977,-0.656000018,0.005,0.277099997,0.421700001,0.0986,-0.455900013,0.333499998,-0.011,0.216399997,0.193800002,1.098999977,-0.323700011,0.341600001,-0.075300001,,0.075300001
-0.654600024,-0.411199987,-2.551300049,1.100700021,-1.705500007,0.0178,-0.237599999,0.085900001,-2.71239996,0.195800006,-0.101800002,-0.039000001,0.133499995,-0.107799999,0.572899997,-0.168200001,0.341199994,-0.083300002,,0.083300002
-1.144500017,-0.700900018,-2.878000021,1.819000006,-2.995500088,0.0306,-0.152099997,0.0243,-0.470400006,0.165299997,-0.297100008,-0.0108,-0.396600008,0.253300011,-4.374300003,-0.8222,-0.513800025,-0.077799998,,0.077799998
-1.09010005,-1.07099998,-0.169200003,3.063800097,-3.191800117,0.0177,-0.626699984,0.425399989,-0.190099999,-0.369100004,-0.568000019,-0.0033,-0.541599989,0.330199987,-5.945199966,-1.040300012,-0.540400028,-0.056600001,,0.056600001
-1.16900003,-0.971099973,0.107799999,2.686000109,-3.064599991,-0.0041,-0.361600012,0.386799991,-0.363000005,-0.322400004,-0.338,-0.0462,-0.082400002,0.409799993,-1.950099945,-0.646000028,0.326799989,-0.054299999,,0.054299999
-1.01970005,-0.30399999,-0.283800006,1.095999956,-2.872999907,-0.024599999,-0.205500007,0.242699996,-3.849499941,-0.0109,0.036499999,-0.0053,-0.155499995,0.470200002,-5.638599873,-1.538900018,0.763800025,-0.021600001,,0.021600001
-1.297199965,-0.838699996,-1.95720005,2.066200018,-3.368900061,0.003,-0.0082,-0.305700004,-5.463600159,0.531400025,1.496399999,-0.078299999,-0.129099995,0.0548,-4.825699806,-0.446099997,0.221399993,-0.075099997,,0.075099997
-0.30219999,-0.229800001,-2.211600065,0.325599998,-0.694999993,-0.0085,0.29460001,0.358500004,-0.888499975,0.0264,0.274899989,-0.0152,0.023,-0.2509,-4.372200012,0.371699989,0.589600027,-0.145099998,,0.145099998
-0.042199999,-0.088,-0.480699986,0.317499995,-0.101099998,0.0054,-0.731299996,0.427700013,-8.344599724,-1.667400002,-1.699499965,0.084200002,0.179199994,0.0105,-5.005300045,-0.674700022,1.176200032,-0.071599998,,0.071599998
-0.394300014,-0.277799994,-1.161200047,0.650300026,-0.982500017,0.0217,-0.560899973,0.104800001,-9.329899788,-1.309700012,0.101899996,0.033,0.059599999,0.918600023,-0.075300001,-0.896600008,0.211500004,-0.069399998,,0.069399998
-0.573899984,-0.182099998,-1.956900001,0.790899992,-1.605399966,0.022600001,-1.276100039,-0.560199976,-3.000200033,-0.024499999,-1.905599952,0.0004,0.143900007,-0.357300013,0.519800007,0.801900029,0.1083,-0.136399999,,0.136399999
-0.275000006,-0.358900011,-1.361600041,1.113100052,-0.587800026,-0.0027,0.055100001,0.354099989,0.170300007,-0.284799993,0.103200004,0.0072,-0.090999998,-0.653199971,0.452699989,1.306699991,0.0015,-0.182500005,,0.182500005
-0.032200001,-0.0221,-1.131500006,0.163900003,-0.150600001,0.0101,-0.26730001,0.485199988,-0.229699999,-0.49970001,-0.183500007,-0.0085,-0.2227,-0.578700006,-3.996400118,0.583100021,-1.015799999,-0.130899996,,0.130899996
-0.201199993,-0.130999997,-1.91050005,0.202700004,-0.574299991,0.0222,0.004,0.230199993,-1.685700059,-0.382600009,-0.205500007,0.021600001,0.031599998,0.019400001,-1.190099955,0.819000006,-0.122000001,-0.086599998,,0.086599998
-0.54369998,-0.396899998,-1.653800011,1.158200026,-1.366400003,0.0174,-0.25940001,-0.2324,-2.348500013,0.38319999,-0.092900001,-0.033300001,-0.64289999,-0.352999985,-2.823299885,0.70569998,-1.677000046,-0.032099999,,0.032099999
