Search ep_r PG GRU,Search ep_r PG,Search ep_r GRU,Search ep_r SAC,Align ep_r PG GRU,Align ep_r PG,Align ep_r GRU,Align ep_r SAC,Insert ep_r PG GRU,Insert ep_r PG,Insert ep_r GRU,Insert ep_r SAC
128.8734436,132.9288788,-104.5796204,-114.2490845,128.1033173,123.2582932,118.3583221,115.3982697,132.2823792,131.947113,-140.4407196,-165.1428986
131.7053223,115.0953751,-116.2933502,-97.64118958,119.0007095,119.8538284,119.1977234,111.7794724,131.5231323,148.4373779,41.52783585,141.0451813
130.7930603,127.1605759,70.99701691,-141.282486,123.257782,121.8180618,124.4763489,108.1065369,147.6586609,132.0254211,61.65999222,132.768631
128.6476975,134.2816467,-106.681633,-116.4986267,127.0910492,122.4564133,-46.60266113,117.2957535,130.9410248,130.3976746,42.90687943,135.8981781
125.3788681,110.6136475,-105.8907166,-107.6133499,121.4200974,119.5500412,-50.57229614,110.1059189,131.0388184,144.981842,-80.69137573,-107.4308701
112.0495453,131.3625793,-103.8803864,-101.1410217,123.8356171,114.4169617,123.7782364,-46.37180328,130.8962708,129.0219727,-143.6348877,141.1481171
119.0008392,115.5113983,-115.0782089,-99.12123108,124.8725357,116.0226059,-52.2619133,-56.91164398,128.6428375,132.578186,119.690712,103.5298843
116.2428131,101.4857025,-89.99768066,-109.4030228,123.1998825,123.9901962,-50.43375015,-121.6246414,130.7429199,143.3869019,118.3546371,101.6645889
113.1241226,128.905014,-104.3157959,-103.9921112,121.8688126,125.1484756,-42.70491028,115.1485748,130.5795441,133.2371216,-94.75596619,138.1423187
124.2564011,74.87998962,-87.30571747,-112.5405273,126.008522,123.8589935,-46.16290283,112.708313,147.4226532,148.09935,-14.68115425,117.4096069
121.7827759,115.8386993,-84.8465271,-88.29608917,102.4320297,112.9293213,-46.73970032,-78.41897583,132.061615,134.7821655,46.04563904,133.7887878
104.0116348,119.5962601,-108.7192459,-112.2797012,123.7140579,111.5571823,125.0681839,-55.77037811,128.1270905,147.6898804,15.62824059,124.0716553
120.9510651,137.4762726,-99.17420197,-84.8915329,125.6374435,123.7690582,118.0307159,-46.34877014,131.2639618,131.3091278,121.9954147,93.15722656
119.491806,127.9604721,59.18729782,-172.3777161,122.7188339,115.0270844,-57.41434479,-52.6372261,130.9860992,127.3920822,109.4644012,112.4385529
122.6246414,125.1324539,-101.8675003,-133.0604706,123.4621429,114.7733917,-50.6585083,115.7414551,129.7872009,147.5101624,128.171936,126.6157227
134.1986847,129.5797424,82.7438736,-93.41207123,124.8065033,123.484726,-47.02480316,-45.86459351,130.4499969,128.6261292,50.39974594,109.2486954
112.4968338,125.3133316,-97.47769165,-92.78181458,115.9967499,124.2559814,-46.69898605,107.9345245,126.8622818,130.3718567,-188.5287323,126.9202499
123.2000504,132.7587738,-93.24272919,-110.567421,119.6338882,116.4772415,-56.65792847,67.22001648,128.595047,87.530014,93.13148499,133.8506012
129.3673401,127.3131714,-97.17881012,-92.19830322,124.0643692,122.4371185,122.4146118,96.33568573,126.040535,131.7373199,48.28594971,130.8265228
104.6628952,109.3418579,-86.38199615,-82.46955872,124.5953522,113.9193802,-46.56039047,106.1727982,128.0941772,125.9062805,130.4938812,124.6868362
120.9207077,105.1805649,-94.15368652,-189.8964081,123.6645813,123.2752991,123.0388107,-46.36617661,125.6955338,131.9416199,-130.994339,114.3469772
126.4956436,104.9229889,90.79561615,-110.6966705,116.5481033,113.8349991,-50.81529617,116.4542465,130.9011383,131.2584991,-172.9320831,101.6544113
125.5031662,110.531517,-123.2687378,-82.51683044,124.7387924,113.3429413,122.604744,90.53636932,132.8008728,127.6824799,-80.53418732,-89.29369354
122.1810608,50.83738708,-101.1249847,-137.76297,124.3773575,122.0000229,-55.63964081,-46.83574677,130.9755096,66.7329559,-131.5412445,129.1098022
114.5516434,113.9041748,-93.51039124,-143.7102051,126.531105,119.6092529,122.923912,-112.1756821,130.4317017,148.2489624,-75.09654999,81.69045258
